年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11409,Ｑ：醫療保健及社會工作服務業,52,0.00,3099312,0.00
11409,Ｒ：藝術、娛樂及休閒服務業,6096,0.18,659116599,0.07
11409,Ｓ：其他服務業,21060,0.63,1986981437,0.21
11409,Ｘ：不能歸類之行業,188008,5.63,75510573419,8.16
11410,Ａ：農、林、漁、牧業,41662,1.49,11121642636,1.33
11410,Ｂ：礦業及土石採取業,23469,0.84,6479074566,0.78
11410,Ｃ：製造業,1028536,36.78,163965516135,19.67
11410,Ｄ：電力及燃氣供應業,27866,1.00,21994946295,2.64
11410,Ｅ：用水供應及污染整治業,14484,0.52,8385941510,1.01
11410,Ｆ：營建工程業,382621,13.68,85896829729,10.30
11410,Ｇ：批發及零售業,425426,15.21,70687758283,8.48
11410,Ｈ：運輸及倉儲業,166580,5.96,12102688161,1.45
11410,Ｉ：住宿及餐飲業,27393,0.98,2389863264,0.29
11410,Ｊ：出版影音及資通訊業,23395,0.84,3482619253,0.42
11410,Ｋ：金融及保險業,102878,3.68,302194113588,36.25
11410,Ｌ：不動產業,71694,2.56,26601270027,3.19
11410,Ｍ：專業、科學及技術服務業,186701,6.68,28012821728,3.36
11410,Ｎ：支援服務業,79352,2.84,13403913630,1.61
11410,Ｏ：公共行政及國防；強制性社會安全,91,0.00,3880238,0.00
11410,Ｐ：教育業,327,0.01,38963604,0.00
11410,Ｑ：醫療保健及社會工作服務業,36,0.00,3137722,0.00
11410,Ｒ：藝術、娛樂及休閒服務業,5530,0.20,850462672,0.10
11410,Ｓ：其他服務業,16790,0.60,1720155513,0.21
11410,Ｘ：不能歸類之行業,171406,6.13,74333692027,8.91
11411,Ａ：農、林、漁、牧業,29926,1.44,7549758698,1.06
11411,Ｂ：礦業及土石採取業,17007,0.82,4934986923,0.69
11411,Ｃ：製造業,751461,36.20,120041612608,16.86
11411,Ｄ：電力及燃氣供應業,20792,1.00,17464275168,2.45
11411,Ｅ：用水供應及污染整治業,10401,0.50,1362830391,0.19
11411,Ｆ：營建工程業,274673,13.23,67454841415,9.47
11411,Ｇ：批發及零售業,307870,14.83,56805690335,7.98
11411,Ｈ：運輸及倉儲業,139369,6.71,10074885600,1.41
11411,Ｉ：住宿及餐飲業,19072,0.92,2134938015,0.30
11411,Ｊ：出版影音及資通訊業,17197,0.83,2419693561,0.34
11411,Ｋ：金融及保險業,81491,3.93,300869083766,42.25
11411,Ｌ：不動產業,59209,2.85,21241054297,2.98
11411,Ｍ：專業、科學及技術服務業,135961,6.55,19973386439,2.80
11411,Ｎ：支援服務業,61907,2.98,11064970510,1.55
11411,Ｏ：公共行政及國防；強制性社會安全,28,0.00,1798414,0.00
11411,Ｐ：教育業,274,0.01,37079943,0.01
11411,Ｑ：醫療保健及社會工作服務業,26,0.00,2327335,0.00
11411,Ｒ：藝術、娛樂及休閒服務業,4623,0.22,482167958,0.07
11411,Ｓ：其他服務業,11981,0.58,1440013354,0.20
11411,Ｘ：不能歸類之行業,132849,6.40,66728829249,9.39
11412,Ａ：農、林、漁、牧業,50496,1.54,12061687255,1.26
11412,Ｂ：礦業及土石採取業,27418,0.84,8022140890,0.84
