年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11302,Ｒ：藝術、娛樂及休閒服務業,5184,0.20,574158399,0.08
11302,Ｓ：其他服務業,17004,0.64,2001653397,0.28
11302,Ｘ：不能歸類之行業,143241,5.40,60598401567,8.60
11303,Ａ：農、林、漁、牧業,33623,1.44,9169368055,1.18
11303,Ｂ：礦業及土石採取業,17746,0.76,5083119198,0.65
11303,Ｃ：製造業,847119,36.18,147449563536,18.92
11303,Ｄ：電力及燃氣供應業,18907,0.81,14330230753,1.84
11303,Ｅ：用水供應及污染整治業,12193,0.52,1345853421,0.17
11303,Ｆ：營建工程業,303163,12.95,68371782134,8.77
11303,Ｇ：批發及零售業,371620,15.87,71799975381,9.21
11303,Ｈ：運輸及倉儲業,164963,7.05,12061077651,1.55
11303,Ｉ：住宿及餐飲業,24056,1.03,2440984948,0.31
11303,Ｊ：出版影音及資通訊業,20932,0.89,3362809815,0.43
11303,Ｋ：金融及保險業,75945,3.24,307450912126,39.46
11303,Ｌ：不動產業,66973,2.86,22615814316,2.90
11303,Ｍ：專業、科學及技術服務業,158147,6.76,23935066651,3.07
11303,Ｎ：支援服務業,70670,3.02,11487037741,1.47
11303,Ｏ：公共行政及國防；強制性社會安全,90,0.00,4900081,0.00
11303,Ｐ：教育業,286,0.01,39042132,0.01
11303,Ｑ：醫療保健及社會工作服務業,43,0.00,2319169,0.00
11303,Ｒ：藝術、娛樂及休閒服務業,4911,0.21,533628199,0.07
11303,Ｓ：其他服務業,14157,0.60,1676962192,0.22
11303,Ｘ：不能歸類之行業,135538,5.80,76083395413,9.77
11304,Ａ：農、林、漁、牧業,49089,1.48,11052331426,1.24
11304,Ｂ：礦業及土石採取業,26198,0.79,7167748727,0.81
11304,Ｃ：製造業,1257465,37.98,188468175382,21.22
11304,Ｄ：電力及燃氣供應業,25909,0.78,16273925295,1.83
11304,Ｅ：用水供應及污染整治業,18479,0.56,8680225123,0.98
11304,Ｆ：營建工程業,451653,13.64,92024235303,10.36
11304,Ｇ：批發及零售業,548524,16.57,93844907628,10.56
11304,Ｈ：運輸及倉儲業,186842,5.64,14408758661,1.62
11304,Ｉ：住宿及餐飲業,34830,1.05,3100103694,0.35
11304,Ｊ：出版影音及資通訊業,28947,0.87,4348639759,0.49
11304,Ｋ：金融及保險業,75363,2.28,295478755374,33.26
11304,Ｌ：不動產業,80703,2.44,29136241283,3.28
11304,Ｍ：專業、科學及技術服務業,237704,7.18,34035231611,3.83
11304,Ｎ：支援服務業,89302,2.70,14390535483,1.62
11304,Ｏ：公共行政及國防；強制性社會安全,262,0.01,12091817,0.00
11304,Ｐ：教育業,444,0.01,83021617,0.01
11304,Ｑ：醫療保健及社會工作服務業,63,0.00,3698468,0.00
11304,Ｒ：藝術、娛樂及休閒服務業,6130,0.19,732610471,0.08
11304,Ｓ：其他服務業,22274,0.67,2159952471,0.24
11304,Ｘ：不能歸類之行業,170735,5.16,72945893326,8.22
11305,Ａ：農、林、漁、牧業,43848,1.48,10258119793,1.17
11305,Ｂ：礦業及土石採取業,23116,0.78,6485256306,0.74
11305,Ｃ：製造業,1075846,36.43,167703650743,19.18
11305,Ｄ：電力及燃氣供應業,23688,0.80,17932555475,2.05
11305,Ｅ：用水供應及污染整治業,16131,0.55,1761424059,0.20
11305,Ｆ：營建工程業,398390,13.49,86559485067,9.90
11305,Ｇ：批發及零售業,475944,16.12,86212541746,9.86
11305,Ｈ：運輸及倉儲業,190655,6.46,14094588463,1.61
11305,Ｉ：住宿及餐飲業,30138,1.02,2625149349,0.30
11305,Ｊ：出版影音及資通訊業,25799,0.87,3725574576,0.43
11305,Ｋ：金融及保險業,86142,2.92,328829016514,37.60
11305,Ｌ：不動產業,80313,2.72,28176176293,3.22
11305,Ｍ：專業、科學及技術服務業,203938,6.91,28916906884,3.31
11305,Ｎ：支援服務業,84564,2.86,13684638641,1.56
11305,Ｏ：公共行政及國防；強制性社會安全,217,0.01,11750398,0.00
11305,Ｐ：教育業,442,0.01,62716729,0.01
11305,Ｑ：醫療保健及社會工作服務業,58,0.00,3370159,0.00
11305,Ｒ：藝術、娛樂及休閒服務業,5556,0.19,668037196,0.08
11305,Ｓ：其他服務業,18536,0.63,2101417589,0.24
11305,Ｘ：不能歸類之行業,169919,5.75,74737835290,8.54
11306,Ａ：農、林、漁、牧業,29857,1.42,7272419632,0.99
11306,Ｂ：礦業及土石採取業,16554,0.79,4925120197,0.67
11306,Ｃ：製造業,743365,35.28,140546765576,19.05
11306,Ｄ：電力及燃氣供應業,17145,0.81,17058955354,2.31
11306,Ｅ：用水供應及污染整治業,10803,0.51,1292788925,0.18
11306,Ｆ：營建工程業,280473,13.31,66975053796,9.08
11306,Ｇ：批發及零售業,323743,15.36,71880991724,9.74
11306,Ｈ：運輸及倉儲業,156043,7.40,14384119292,1.95
11306,Ｉ：住宿及餐飲業,19767,0.94,2199681742,0.30
11306,Ｊ：出版影音及資通訊業,18206,0.86,3131376099,0.42
11306,Ｋ：金融及保險業,69741,3.31,278662996083,37.78
11306,Ｌ：不動產業,65128,3.09,24959126031,3.38
11306,Ｍ：專業、科學及技術服務業,142203,6.75,20718793301,2.81
11306,Ｎ：支援服務業,65748,3.12,10563495957,1.43
11306,Ｏ：公共行政及國防；強制性社會安全,117,0.01,6200686,0.00
11306,Ｐ：教育業,319,0.02,30618806,0.00
11306,Ｑ：醫療保健及社會工作服務業,36,0.00,1866730,0.00
11306,Ｒ：藝術、娛樂及休閒服務業,4071,0.19,491700187,0.07
11306,Ｓ：其他服務業,12653,0.60,1566583936,0.21
11306,Ｘ：不能歸類之行業,131307,6.23,70982553563,9.63
11307,Ａ：農、林、漁、牧業,51474,1.45,13444717142,1.36
11307,Ｂ：礦業及土石採取業,28988,0.81,7768790799,0.79
11307,Ｃ：製造業,1349299,37.91,213442863666,21.61
11307,Ｄ：電力及燃氣供應業,27967,0.79,19256726831,1.95
11307,Ｅ：用水供應及污染整治業,20293,0.57,9029061858,0.91
11307,Ｆ：營建工程業,493351,13.86,106648537155,10.80
11307,Ｇ：批發及零售業,580989,16.32,97507179004,9.87
11307,Ｈ：運輸及倉儲業,194493,5.46,14626140417,1.48
11307,Ｉ：住宿及餐飲業,35595,1.00,3759496923,0.38
11307,Ｊ：出版影音及資通訊業,30279,0.85,4581708903,0.46
11307,Ｋ：金融及保險業,94565,2.66,325802371722,32.98
11307,Ｌ：不動產業,88067,2.47,33599158007,3.40
11307,Ｍ：專業、科學及技術服務業,250526,7.04,41657737526,4.22
11307,Ｎ：支援服務業,92638,2.60,16648319883,1.69
11307,Ｏ：公共行政及國防；強制性社會安全,255,0.01,13830652,0.00
11307,Ｐ：教育業,472,0.01,51823273,0.01
11307,Ｑ：醫療保健及社會工作服務業,83,0.00,4870344,0.00
11307,Ｒ：藝術、娛樂及休閒服務業,6540,0.18,833878917,0.08
11307,Ｓ：其他服務業,22721,0.64,2289271693,0.23
11307,Ｘ：不能歸類之行業,190430,5.37,76799387731,7.78
11308,Ａ：農、林、漁、牧業,33108,1.32,8637951306,1.04
11308,Ｂ：礦業及土石採取業,20121,0.80,6678740499,0.81
11308,Ｃ：製造業,859086,34.24,146757463713,17.73
11308,Ｄ：電力及燃氣供應業,21378,0.85,21832947366,2.64
11308,Ｅ：用水供應及污染整治業,12349,0.49,1506601226,0.18
11308,Ｆ：營建工程業,323521,12.90,78075892298,9.43
11308,Ｇ：批發及零售業,367452,14.65,73348452042,8.86
11308,Ｈ：運輸及倉儲業,177014,7.06,12415731679,1.50
11308,Ｉ：住宿及餐飲業,23250,0.93,2242569468,0.27
11308,Ｊ：出版影音及資通訊業,20840,0.83,3248201714,0.39
11308,Ｋ：金融及保險業,149939,5.98,326905545475,39.50
11308,Ｌ：不動產業,73897,2.95,31130182269,3.76
11308,Ｍ：專業、科學及技術服務業,162521,6.48,23891545192,2.89
11308,Ｎ：支援服務業,71984,2.87,11564195261,1.40
11308,Ｏ：公共行政及國防；強制性社會安全,84,0.00,4770098,0.00
